quote,author,tags,last_updated_at_UTC
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,love,10-Nov-2021 15:27:32
“Not all those who wander are lost.”,J.R.R. Tolkien,"bilbo,journey,lost,quest,travel,wander",10-Nov-2021 15:27:32
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,live-death-love,10-Nov-2021 15:27:32
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,"good,writing",10-Nov-2021 15:27:32
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,"life,regrets",10-Nov-2021 15:27:32
“I have never let my schooling interfere with my education.”,Mark Twain,education,10-Nov-2021 15:27:32
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,troubles,10-Nov-2021 15:27:32
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"friendship,love",10-Nov-2021 15:27:35
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor,10-Nov-2021 15:27:35
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"humor,open-mind,thinking",10-Nov-2021 15:27:35
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"humor,philosophy",10-Nov-2021 15:27:35
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"authors,books,literature,reading,writing",10-Nov-2021 15:27:35
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"humor,insanity,lies,lying,self-indulgence,truth",10-Nov-2021 15:27:35
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace",10-Nov-2021 15:27:35
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"humor,sinister",10-Nov-2021 15:27:35
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,,10-Nov-2021 15:27:35
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"books,classic,reading",10-Nov-2021 15:27:35
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,mistakes,10-Nov-2021 15:27:38
